text,author,tags
"
      “We’re all a little weird. And life is a little weird. And when we find someone whose weirdness is compatible with ours, we join up with them and fall into mutually satisfying weirdness—and call it love—true love.”
  ","
    Robert Fulghum,
  ","love,weirdness"
"
      “You don’t ","
    Walter M. Miller Jr.,
  ","body-soul,misattributed-to-c-s-lewis"
"
      “I would venture to guess that Anon, who wrote so many poems without signing them, was often a woman.”
  ","
    Virginia Woolf,
  ",women
"
      “Some infinities are bigger than other infinities.”
  ","
    John Green,
  ","infinity,john-green,life,tfios,the-fault-in-our-stars"
"
      “It is what you read when you don't have to that determines what you will be when you can't help it.”
  ","
    Oscar Wilde
  ","books,reading"
"
      “Do one thing every day that scares you.”
  ","
    Eleanor Roosevelt
  ","attributed,fear,inspiration"
"
      “The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”
  ","
    Terry Pratchett,
  ","humor,open-mind,thinking"
"
      “One must always be careful of books,"" said Tessa, ""and what is inside them, for words have the power to change us.”
  ","
    Cassandra Clare,
  ",books
"
      “If I had a flower for every time I thought of you...I could walk through my garden forever.”
  ","
    Alfred Tennyson
  ","friendship,love"
"
      “Not all those who wander are lost.”
  ","
    J.R.R. Tolkien,
  ","bilbo,journey,lost,quest,travel,wander"
"
      “Reality continues to ruin my life.”
  ","
    Bill Watterson,
  ","calvin-and-hobbes,humor,life"
"
      “Time you enjoy wasting is not wasted time.”
  ","
    Marthe Troly-Curtin,
  ","happiness,misattributed-john-lennon,procrastination,time"
"
      “Things change. And friends leave. Life doesn't stop for anybody.”
  ","
    Stephen Chbosky,
  ","change,life"
"
      “There is no pretending,"" Jace said with absolute clarity. ""I love you, and I will love you until I die, and if there is life after that, I'll love you then.”
  ","
    Cassandra Clare,
  ","mortal-instruments,romance,teen-fantasy"
"
      “Who are you to judge the life I live?","
    Bob Marley
  ","judge,life,live,perfection"
